cd_cnpj,nm_razao_social
53766556000150,TRANSBOM TRANSPORTES LTDA
54100763000133,TRANSTIP TRANSPORTES LTDA
54423934000165,ARANAO TRANSPORTES RODOVIARIOS LTDA
54496351000164,ALS TRANSPORTES LTDA
54544622000100,REKARGA TRANSPORTES LTDA
54624788000136,OTA TRANSPORTES EIRELI
54635420000173,ZARGO TRANSPORTES LTDA
55054969000137,MALAJATO ENTREGAS RAPIDAS LTDA
55061022000153,REMARKI TRANSPORTES LTDA
55363600000106,NINON TRANSPORTES LTDA
55717243000137,ANACIREMA TRANSPORTES LTDA
55765309000164,FERO TRANSPORTES GERAIS LTDA
55925416000102,CERQUILHO TRANSPORTES LTDA
56105521000168,RODCRIS TRANSPORTES LTDA
56215882000167,HEGLO TRANSPORTES LTDA
56242068000131,EXITO TRANSPORTES LTDA
56671647000108,JAVATRANS TRANSPORTES LTDA
56761927000107,GARYTRANS TRANSPORTES LTDA
56854375000173,LASER TRANSPORTES E MUDANCAS LTDA
57343667000104,333 TRANSPORTES LTDA
57440398000102,INTERFRETES TRANSPORTES LTDA
57647265000101,TRANSMERIDIANA TRANSPORTES LTDA
57686057000103,MCP TRANSPORTES LTDA
